State,County,Yr,Year Group,Age Group,Which,Crime,Arrests
Colorado,Conejos,1998,1995-1999,Adult,Violent,Homicide,0
Colorado,Conejos,1999,1995-1999,Adult,Violent,Homicide,1
Colorado,Conejos,2001,2000-2004,Adult,Violent,Homicide,0
Colorado,Conejos,2002,2000-2004,Adult,Violent,Homicide,0
Colorado,Conejos,1992,1992-1994,Adult,Violent,Rape,0
Colorado,Conejos,1993,1992-1994,Adult,Violent,Rape,0
Colorado,Conejos,1995,1995-1999,Adult,Violent,Rape,0
Colorado,Conejos,1998,1995-1999,Adult,Violent,Rape,0
Colorado,Conejos,1999,1995-1999,Adult,Violent,Rape,1
Colorado,Conejos,2001,2000-2004,Adult,Violent,Rape,0
Colorado,Conejos,2002,2000-2004,Adult,Violent,Rape,0
Colorado,Conejos,1992,1992-1994,Adult,Violent,Robbery,0
Colorado,Conejos,1993,1992-1994,Adult,Violent,Robbery,0
Colorado,Conejos,1995,1995-1999,Adult,Violent,Robbery,0
Colorado,Conejos,1998,1995-1999,Adult,Violent,Robbery,0
Colorado,Conejos,1999,1995-1999,Adult,Violent,Robbery,0
Colorado,Conejos,2001,2000-2004,Adult,Violent,Robbery,0
Colorado,Conejos,2002,2000-2004,Adult,Violent,Robbery,0
Colorado,Adams,1992,1992-1994,Adult,Violent,Homicide,29
Colorado,Adams,1993,1992-1994,Adult,Violent,Homicide,23
Colorado,Adams,1994,1992-1994,Adult,Violent,Homicide,18
Colorado,Adams,1995,1995-1999,Adult,Violent,Homicide,22
Colorado,Adams,1996,1995-1999,Adult,Violent,Homicide,21
Colorado,Adams,1997,1995-1999,Adult,Violent,Homicide,21
Colorado,Adams,1998,1995-1999,Adult,Violent,Homicide,21
Colorado,Adams,1999,1995-1999,Adult,Violent,Homicide,25
Colorado,Adams,2000,2000-2004,Adult,Violent,Homicide,22
Colorado,Adams,2001,2000-2004,Adult,Violent,Homicide,21
Colorado,Adams,2002,2000-2004,Adult,Violent,Homicide,25
Colorado,Adams,2003,2000-2004,Adult,Violent,Homicide,15
Colorado,Adams,2004,2000-2004,Adult,Violent,Homicide,12
Colorado,Adams,2005,2005-2009,Adult,Violent,Homicide,15
Colorado,Adams,1992,1992-1994,Adult,Violent,Rape,84
Colorado,Adams,1993,1992-1994,Adult,Violent,Rape,85
Colorado,Adams,1994,1992-1994,Adult,Violent,Rape,56
Colorado,Adams,1995,1995-1999,Adult,Violent,Rape,73
Colorado,Adams,1996,1995-1999,Adult,Violent,Rape,63
Colorado,Adams,1997,1995-1999,Adult,Violent,Rape,50
Colorado,Adams,1998,1995-1999,Adult,Violent,Rape,79
Colorado,Adams,1999,1995-1999,Adult,Violent,Rape,71
Colorado,Adams,2000,2000-2004,Adult,Violent,Rape,62
Colorado,Adams,2001,2000-2004,Adult,Violent,Rape,54
Colorado,Adams,2002,2000-2004,Adult,Violent,Rape,64
Colorado,Adams,2003,2000-2004,Adult,Violent,Rape,37
Colorado,Adams,2004,2000-2004,Adult,Violent,Rape,34
Colorado,Adams,2005,2005-2009,Adult,Violent,Rape,21
Colorado,Adams,1992,1992-1994,Adult,Violent,Robbery,168
Colorado,Adams,1993,1992-1994,Adult,Violent,Robbery,191
Colorado,Adams,1994,1992-1994,Adult,Violent,Robbery,134
Colorado,Adams,1995,1995-1999,Adult,Violent,Robbery,167
Colorado,Adams,1996,1995-1999,Adult,Violent,Robbery,117
Colorado,Adams,1997,1995-1999,Adult,Violent,Robbery,120
Colorado,Adams,1998,1995-1999,Adult,Violent,Robbery,95
Colorado,Adams,1999,1995-1999,Adult,Violent,Robbery,95
Colorado,Adams,2000,2000-2004,Adult,Violent,Robbery,102
Colorado,Adams,2001,2000-2004,Adult,Violent,Robbery,113
Colorado,Adams,2002,2000-2004,Adult,Violent,Robbery,79
Colorado,Adams,2003,2000-2004,Adult,Violent,Robbery,98
Colorado,Adams,2004,2000-2004,Adult,Violent,Robbery,50
Colorado,Adams,2005,2005-2009,Adult,Violent,Robbery,75
Colorado,Adams,1992,1992-1994,Adult,Violent,Aggravated Assault,1654
Colorado,Adams,1993,1992-1994,Adult,Violent,Aggravated Assault,1859
Colorado,Adams,1994,1992-1994,Adult,Violent,Aggravated Assault,1827
Colorado,Adams,1995,1995-1999,Adult,Violent,Aggravated Assault,1109
Colorado,Adams,1996,1995-1999,Adult,Violent,Aggravated Assault,572
Colorado,Adams,1997,1995-1999,Adult,Violent,Aggravated Assault,491
Colorado,Adams,1998,1995-1999,Adult,Violent,Aggravated Assault,611
Colorado,Adams,1999,1995-1999,Adult,Violent,Aggravated Assault,586
Colorado,Adams,2000,2000-2004,Adult,Violent,Aggravated Assault,636
Colorado,Adams,2001,2000-2004,Adult,Violent,Aggravated Assault,673
Colorado,Adams,2002,2000-2004,Adult,Violent,Aggravated Assault,597
Colorado,Adams,2003,2000-2004,Adult,Violent,Aggravated Assault,464
Colorado,Adams,2004,2000-2004,Adult,Violent,Aggravated Assault,275
Colorado,Adams,2005,2005-2009,Adult,Violent,Aggravated Assault,351
Colorado,Adams,1992,1992-1994,Adult,Property,Burglary,304
Colorado,Adams,1993,1992-1994,Adult,Property,Burglary,313
Colorado,Adams,1994,1992-1994,Adult,Property,Burglary,338
Colorado,Adams,1995,1995-1999,Adult,Property,Burglary,267
Colorado,Adams,1996,1995-1999,Adult,Property,Burglary,202
Colorado,Adams,1997,1995-1999,Adult,Property,Burglary,164
Colorado,Adams,1998,1995-1999,Adult,Property,Burglary,226
Colorado,Adams,1999,1995-1999,Adult,Property,Burglary,192
Colorado,Adams,2000,2000-2004,Adult,Property,Burglary,187
Colorado,Adams,2001,2000-2004,Adult,Property,Burglary,170
Colorado,Adams,2002,2000-2004,Adult,Property,Burglary,166
Colorado,Adams,2003,2000-2004,Adult,Property,Burglary,157
Colorado,Adams,2004,2000-2004,Adult,Property,Burglary,175
Colorado,Adams,2005,2005-2009,Adult,Property,Burglary,136
Colorado,Adams,1992,1992-1994,Adult,Property,Larceny/Theft,3889
Colorado,Adams,1993,1992-1994,Adult,Property,Larceny/Theft,3683
Colorado,Adams,1994,1992-1994,Adult,Property,Larceny/Theft,3694
Colorado,Adams,1995,1995-1999,Adult,Property,Larceny/Theft,4001
Colorado,Adams,1996,1995-1999,Adult,Property,Larceny/Theft,3454
Colorado,Adams,1997,1995-1999,Adult,Property,Larceny/Theft,2809
Colorado,Adams,1998,1995-1999,Adult,Property,Larceny/Theft,3532
Colorado,Adams,1999,1995-1999,Adult,Property,Larceny/Theft,3047
Colorado,Adams,2000,2000-2004,Adult,Property,Larceny/Theft,2668
Colorado,Adams,2001,2000-2004,Adult,Property,Larceny/Theft,2864
Colorado,Adams,2002,2000-2004,Adult,Property,Larceny/Theft,2854
Colorado,Adams,2003,2000-2004,Adult,Property,Larceny/Theft,1404
Colorado,Adams,2004,2000-2004,Adult,Property,Larceny/Theft,1397
Colorado,Adams,2005,2005-2009,Adult,Property,Larceny/Theft,1887
Colorado,Adams,1992,1992-1994,Adult,Property,Motor Vehicle Theft,202
Colorado,Adams,1993,1992-1994,Adult,Property,Motor Vehicle Theft,245
Colorado,Adams,1994,1992-1994,Adult,Property,Motor Vehicle Theft,125
Colorado,Adams,1995,1995-1999,Adult,Property,Motor Vehicle Theft,193
Colorado,Adams,1996,1995-1999,Adult,Property,Motor Vehicle Theft,108
Colorado,Adams,1997,1995-1999,Adult,Property,Motor Vehicle Theft,122
Colorado,Adams,1998,1995-1999,Adult,Property,Motor Vehicle Theft,135
Colorado,Adams,1999,1995-1999,Adult,Property,Motor Vehicle Theft,143
Colorado,Adams,2000,2000-2004,Adult,Property,Motor Vehicle Theft,122
Colorado,Adams,2001,2000-2004,Adult,Property,Motor Vehicle Theft,166
Colorado,Adams,2002,2000-2004,Adult,Property,Motor Vehicle Theft,242
Colorado,Adams,2003,2000-2004,Adult,Property,Motor Vehicle Theft,202
Colorado,Adams,2004,2000-2004,Adult,Property,Motor Vehicle Theft,95
Colorado,Adams,2005,2005-2009,Adult,Property,Motor Vehicle Theft,91
Colorado,Adams,1992,1992-1994,Adult,Property,Arson,14
Colorado,Adams,1993,1992-1994,Adult,Property,Arson,25
Colorado,Adams,1994,1992-1994,Adult,Property,Arson,17
Colorado,Adams,1995,1995-1999,Adult,Property,Arson,0
Colorado,Adams,1996,1995-1999,Adult,Property,Arson,7
Colorado,Adams,1997,1995-1999,Adult,Property,Arson,7
Colorado,Adams,1998,1995-1999,Adult,Property,Arson,19
Colorado,Adams,1999,1995-1999,Adult,Property,Arson,13
Colorado,Adams,2000,2000-2004,Adult,Property,Arson,8
Colorado,Adams,2001,2000-2004,Adult,Property,Arson,9
Colorado,Adams,2002,2000-2004,Adult,Property,Arson,6
Colorado,Adams,2003,2000-2004,Adult,Property,Arson,9
Colorado,Adams,2004,2000-2004,Adult,Property,Arson,6
Colorado,Adams,2005,2005-2009,Adult,Property,Arson,16
Colorado,Adams,1992,1992-1994,Adult,Drug,Drugs,1180
Colorado,Adams,1993,1992-1994,Adult,Drug,Drugs,1306
Colorado,Adams,1995,1995-1999,Adult,Drug,Drugs,806
Colorado,Adams,1996,1995-1999,Adult,Drug,Drugs,1908
Colorado,Adams,1997,1995-1999,Adult,Drug,Drugs,1821
Colorado,Adams,1998,1995-1999,Adult,Drug,Drugs,2337
Colorado,Adams,1999,1995-1999,Adult,Drug,Drugs,2483
Colorado,Adams,2000,2000-2004,Adult,Drug,Drugs,1972
Colorado,Adams,2001,2000-2004,Adult,Drug,Drugs,1829
